<<<<<<< HEAD
FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Indicator (road network traffic)
S12000040,West Lothian,Council Area,2017,Ratio,Percent Of Roads,29.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2014,Count,Vehicle Kilometres,1757,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2009,Count,Vehicle Kilometres,1714,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2012,Count,Vehicle Kilometres,1699,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2011,Count,Vehicle Kilometres,1699,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2018,Count,Vehicle Kilometres,1926,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2014,Ratio,Driver Journeys,10.4,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2006,Count,Vehicle Kilometres,1681,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2011,Ratio,Percent Of Roads,30.5,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2012,Ratio,Percent Of Roads,26.9,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2018,Ratio,Driver Journeys,19,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2014,Ratio,Percent Of Roads,46.8,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2018,Ratio,Percent Of Roads,29.9,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2007,Count,Vehicle Kilometres,1709,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2013,Ratio,Percent Of Roads,46.8,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2013,Count,Vehicle Kilometres,1716,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2015,Count,Vehicle Kilometres,1803,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2007,Ratio,Percent Of Roads,27,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2015,Ratio,Percent Of Roads,27.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2016,Ratio,Percent Of Roads,29.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2007,Ratio,Driver Journeys,14.6,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2017,Count,Vehicle Kilometres,1884,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2009,Ratio,Percent Of Roads,32.3,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2010,Count,Vehicle Kilometres,1699,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2017,Ratio,Driver Journeys,19.3,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2013,Ratio,Driver Journeys,12,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2016,Count,Vehicle Kilometres,1835,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2016,Ratio,Driver Journeys,15.2,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2015,Ratio,Driver Journeys,16.3,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2008,Ratio,Percent Of Roads,26.2,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2019,Count,Vehicle Kilometres,1931,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2020,Count,Vehicle Kilometres,1509,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2021,Count,Vehicle Kilometres,1711,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2023,Ratio,Percent Of Roads,31,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2019,Ratio,Percent Of Roads,27.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2022,Count,Vehicle Kilometres,1842,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2005,Ratio,Driver Journeys,10.8,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2022,Ratio,Percent Of Roads,29,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2022,Ratio,Driver Journeys,10,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2019,Ratio,Driver Journeys,20,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2021,Ratio,Driver Journeys,15,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2006,Ratio,Percent Of Roads,42,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2008,Count,Vehicle Kilometres,1729,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2009,Ratio,Driver Journeys,8.4,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2020,Ratio,Percent Of Roads,28.5,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2021,Ratio,Percent Of Roads,30,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000040,West Lothian,Council Area,2003,Ratio,Driver Journeys,12.3,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000040,West Lothian,Council Area,2023,Count,Vehicle Kilometres,1898,The Total Million Vehicle Kilometres On Scottish Roads
S12000040,West Lothian,Council Area,2023,Ratio,Driver Journeys,12,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S92000003,Scotland,Country,2022,Ratio,Percent Of Roads,33,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2021,Ratio,Driver Journeys,11.2,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S92000003,Scotland,Country,2014,Ratio,Percent Of Roads,36.7,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2014,Count,Vehicle Kilometres,44776,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2015,Count,Vehicle Kilometres,45374,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2015,Ratio,Percent Of Roads,36.7,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2021,Count,Vehicle Kilometres,43410,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2008,Ratio,Percent Of Roads,34.2,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2021,Ratio,Percent Of Roads,34,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2015,Ratio,Driver Journeys,12.4,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S92000003,Scotland,Country,2011,Count,Vehicle Kilometres,43085,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2023,Count,Vehicle Kilometres,48018,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2023,Ratio,Percent Of Roads,34,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2013,Ratio,Driver Journeys,9.7,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S92000003,Scotland,Country,2007,Count,Vehicle Kilometres,43988,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2012,Count,Vehicle Kilometres,43498,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2011,Ratio,Percent Of Roads,36.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2012,Ratio,Percent Of Roads,36.2,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2013,Count,Vehicle Kilometres,43711,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2013,Ratio,Percent Of Roads,36.7,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2014,Ratio,Driver Journeys,11.7,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S92000003,Scotland,Country,2010,Count,Vehicle Kilometres,43160,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2008,Count,Vehicle Kilometres,43799,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2022,Ratio,Driver Journeys,10.6,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S92000003,Scotland,Country,2022,Count,Vehicle Kilometres,46957,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2016,Ratio,Driver Journeys,11.7,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S92000003,Scotland,Country,2009,Ratio,Percent Of Roads,36.1,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2018,Ratio,Driver Journeys,12.5,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S92000003,Scotland,Country,2023,Ratio,Driver Journeys,11,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S92000003,Scotland,Country,2020,Count,Vehicle Kilometres,37883,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2006,Ratio,Percent Of Roads,37.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2007,Ratio,Percent Of Roads,37.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2017,Ratio,Driver Journeys,12.3,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S92000003,Scotland,Country,2009,Count,Vehicle Kilometres,43566,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2019,Ratio,Driver Journeys,12.6,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S92000003,Scotland,Country,2006,Count,Vehicle Kilometres,43456,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2017,Ratio,Percent Of Roads,36.7,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2017,Count,Vehicle Kilometres,48045,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2019,Count,Vehicle Kilometres,48713,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2018,Ratio,Percent Of Roads,36.3,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2019,Ratio,Percent Of Roads,35.9,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2016,Ratio,Percent Of Roads,36.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2018,Count,Vehicle Kilometres,48187,The Total Million Vehicle Kilometres On Scottish Roads
S92000003,Scotland,Country,2020,Ratio,Percent Of Roads,35.5,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S92000003,Scotland,Country,2016,Count,Vehicle Kilometres,46843,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2022,Ratio,Driver Journeys,10,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2018,Ratio,Percent Of Roads,34.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2017,Ratio,Percent Of Roads,36.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2022,Ratio,Percent Of Roads,35,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2012,Ratio,Percent Of Roads,33.7,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2009,Ratio,Percent Of Roads,37.8,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2012,Count,Vehicle Kilometres,316,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2009,Ratio,Driver Journeys,10.79,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2019,Ratio,Driver Journeys,9,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2012,Ratio,Driver Journeys,4.5,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2007,Ratio,Percent Of Roads,39,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2013,Ratio,Driver Journeys,6.3,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2008,Count,Vehicle Kilometres,298,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2018,Ratio,Driver Journeys,8,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2019,Count,Vehicle Kilometres,345,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2018,Count,Vehicle Kilometres,340,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2017,Count,Vehicle Kilometres,336,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2023,Ratio,Percent Of Roads,34,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2023,Count,Vehicle Kilometres,339,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2023,Ratio,Driver Journeys,11,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2016,Ratio,Driver Journeys,4.2,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2015,Count,Vehicle Kilometres,324,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2005,Ratio,Driver Journeys,13.8,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2020,Ratio,Percent Of Roads,35.9,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2021,Ratio,Driver Journeys,9,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2011,Count,Vehicle Kilometres,318,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2007,Ratio,Driver Journeys,13.3,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2015,Ratio,Driver Journeys,6.7,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2016,Count,Vehicle Kilometres,333,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2015,Ratio,Percent Of Roads,36.2,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2016,Ratio,Percent Of Roads,35.2,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2006,Ratio,Percent Of Roads,54,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2006,Count,Vehicle Kilometres,290,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2021,Count,Vehicle Kilometres,308,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2009,Count,Vehicle Kilometres,312,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2014,Ratio,Driver Journeys,10.4,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2019,Ratio,Percent Of Roads,35.6,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2022,Count,Vehicle Kilometres,334,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2017,Ratio,Driver Journeys,6.9,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2013,Ratio,Percent Of Roads,43.5,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2010,Count,Vehicle Kilometres,316,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2011,Ratio,Percent Of Roads,36.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2013,Count,Vehicle Kilometres,307,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2007,Count,Vehicle Kilometres,295,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2020,Count,Vehicle Kilometres,274,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2021,Ratio,Percent Of Roads,34,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2014,Ratio,Percent Of Roads,43.5,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000005,Clackmannanshire,Council Area,2003,Ratio,Driver Journeys,11.9,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000005,Clackmannanshire,Council Area,2014,Count,Vehicle Kilometres,319,The Total Million Vehicle Kilometres On Scottish Roads
S12000005,Clackmannanshire,Council Area,2008,Ratio,Percent Of Roads,36.9,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000006,Dumfries and Galloway,Council Area,2009,Count,Vehicle Kilometres,1988,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,Dumfries and Galloway,Council Area,2009,Ratio,Driver Journeys,8.04,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000006,Dumfries and Galloway,Council Area,2009,Ratio,Percent Of Roads,44.8,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000006,Dumfries and Galloway,Council Area,2010,Count,Vehicle Kilometres,1976,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,Dumfries and Galloway,Council Area,2008,Ratio,Percent Of Roads,43.6,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000006,Dumfries and Galloway,Council Area,2008,Count,Vehicle Kilometres,2012,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,Dumfries and Galloway,Council Area,2019,Ratio,Driver Journeys,7,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000006,Dumfries and Galloway,Council Area,2019,Ratio,Percent Of Roads,47.9,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000006,Dumfries and Galloway,Council Area,2019,Count,Vehicle Kilometres,2240,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,Dumfries and Galloway,Council Area,2020,Ratio,Percent Of Roads,47.5,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000006,Dumfries and Galloway,Council Area,2020,Count,Vehicle Kilometres,1692,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,Dumfries and Galloway,Council Area,2017,Count,Vehicle Kilometres,2267,The Total Million Vehicle Kilometres On Scottish Roads
S12000006,Dumfries and Galloway,Council Area,2018,Ratio,Driver Journeys,9,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
S12000006,Dumfries and Galloway,Council Area,2017,Ratio,Percent Of Roads,47.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification) In Scotland
S12000006,Dumfries and Galloway,Council Area,2018,Count,Vehicle Kilometres,2234,The Total Million Vehicle Kilometres On Scottish Roads
